timestamp,raw,first6,event_type,event_target,event_value,buttons,analogs
2026-05-16T12:51:53.536,01004200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010042,dial,Dial 1,66,"1,0,0,0","66,0,0,0"
2026-05-16T12:51:53.536,01004100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010041,dial,Dial 1,65,"1,0,0,0","65,0,0,0"
2026-05-16T12:51:53.536,01004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010040,dial,Dial 1,64,"1,0,0,0","64,0,0,0"
2026-05-16T12:51:53.536,01003f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01003f,dial,Dial 1,63,"1,0,0,0","63,0,0,0"
2026-05-16T12:51:53.536,01003e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01003e,dial,Dial 1,62,"1,0,0,0","62,0,0,0"
2026-05-16T12:51:53.536,01003d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01003d,dial,Dial 1,61,"1,0,0,0","61,0,0,0"
2026-05-16T12:51:53.536,01003c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01003c,dial,Dial 1,60,"1,0,0,0","60,0,0,0"
2026-05-16T12:51:53.536,01003b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01003b,dial,Dial 1,59,"1,0,0,0","59,0,0,0"
2026-05-16T12:51:53.536,01003a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01003a,dial,Dial 1,58,"1,0,0,0","58,0,0,0"
2026-05-16T12:51:53.536,01003900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010039,dial,Dial 1,57,"1,0,0,0","57,0,0,0"
2026-05-16T12:51:53.536,01003800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010038,dial,Dial 1,56,"1,0,0,0","56,0,0,0"
